type,conv_type,groups,c_in,h_in,w_in,k1,k2,c_out,h_out,w_out,MACs,Flash,latency,MACs/latency
pad,,,96,32,32,,,96,36,36,0,0,0.217,
conv2d,PointWise,1,672,3,3,1,1,112,3,3,677488,75712,1.909,354891
conv2d,PointWise,1,176,1,1,1,1,1280,1,1,226560,230400,3.084,73463
conv2d,PointWise,1,88,22,22,1,1,96,22,22,4088928,8832,10.406,392939
pad,,,128,9,9,,,128,11,11,0,0,0.02,
conv2d,PointWise,1,176,14,14,1,1,224,14,14,7727328,40320,19.112,404318
conv2d,PointWise,1,48,28,28,1,1,48,28,28,1806384,2496,4.865,371301
conv2d,PointWise,1,96,12,12,1,1,576,12,12,7963200,57600,22.27,357575
pad,,,64,18,18,,,64,20,20,0,0,0.041,
conv2d,PointWise,1,320,3,3,1,1,320,3,3,921920,103680,2.68,343999
conv2d,PointWise,1,96,16,16,1,1,576,16,16,14156352,57600,36.484,388015
conv2d,PointWise,1,576,16,16,1,1,96,16,16,14155872,55680,32.204,439568
conv2d,PointWise,1,128,12,12,1,1,128,12,12,2359424,16896,6.249,377568
conv2d,PointWise,1,288,3,3,1,1,288,3,3,746784,84096,2.218,336692
pad,,,64,16,16,,,64,18,18,0,0,0.03,
conv2d,PointWise,1,288,3,3,1,1,288,3,3,746784,84096,2.211,337758
conv2d,PointWise,1,288,3,3,1,1,288,3,3,746784,84096,2.21,337911
pad,,,80,12,12,,,80,14,14,0,0,0.024,
conv2d,PointWise,1,288,3,3,1,1,288,3,3,746784,84096,2.211,337758
conv2d,PointWise,1,288,3,3,1,1,288,3,3,746784,84096,2.21,337911
conv2d,PointWise,1,64,12,12,1,1,192,12,12,1769664,13056,4.109,430679
